Age,Gender,Income,Education,Nationality,MonthlySpend,PurchaseFreq,PlatformsUsed,MainInfluencerTier,AdFormat,InfluencerCount,MostTrustedPlatform,PurchasedFromInfluencer,WouldRecommend,PurchaseChallenge,InfluencerContentType,WillingnessToTry,WillingnessToPayExtra,MarketingEffectiveness,OnlineCommunityMember,BiggestTurnoff,DiscoveryChannel,PurchaseTimeAfterAd,PurchaseInfluencingFactors
33,Male,5-10k,Bachelors,Expat-Asian,1000+,Monthly,"Snapchat, TikTok, YouTube",Macro,Reel,1-3,TikTok,Yes,Yes,NotTrusted,"Story, Video",VeryLikely,No,NotEffective,No,None,OnlineSearch,Week,"Ingredients, Reviews"
26,Female,20-30k,Masters,Expat-Western,<100,Weekly,"Snapchat, Facebook, Instagram",Mega,Post,4-7,Instagram,No,No,NotSure,"Post, Reel, Story",Likely,No,SomewhatEffective,No,Overpromo,FriendsFamily,Month,"Brand, Reviews"
28,Male,30k+,Masters,Other,250-500,Monthly,"Facebook, YouTube, Instagram",Micro,Post,4-7,Instagram,Yes,Yes,NotSure,Reel,Likely,No,HighlyEffective,No,Unrelatable,OnlineSearch,Month,"Reviews, Friends"
26,Male,20-30k,Masters,Emirati,<100,Rarely,"TikTok, Facebook",Micro,Post,1-3,Facebook,No,No,NotSure,"Story, Reel",Likely,No,SomewhatEffective,Yes,Unrelatable,SocialMedia,Month,"Influencer, Friends"
43,Female,<5k,Bachelors,Other,<100,Monthly,YouTube,Macro,Reel,1-3,YouTube,Yes,Yes,NotSure,"Post, Video",Unlikely,50%+,HighlyEffective,Yes,Repetitive,SocialMedia,Later,"Friends, Brand"
30,Female,10-20k,HighSchool,Emirati,100-250,Monthly,"Instagram, YouTube",Micro,Story,1-3,Instagram,Yes,Yes,HardToFind,"Video, Story, Post",Likely,No,SomewhatEffective,No,Repetitive,FriendsFamily,Later,"Friends, Brand"
23,Female,<5k,Bachelors,Expat-Western,250-500,Weekly,"Instagram, Facebook, TikTok",Micro,Reel,4-7,Instagram,Yes,Yes,Expensive,"Video, Reel, Post",Likely,No,HighlyEffective,No,Unrelatable,SocialMedia,Week,"Reviews, Brand"
36,Female,5-10k,Bachelors,Expat-Arab,100-250,Weekly,"Facebook, TikTok",Macro,Story,None,TikTok,Yes,Yes,NotSure,"Story, Reel",Unlikely,No,SomewhatEffective,No,Repetitive,OnlineSearch,Later,"Ingredients, Friends"
22,Female,<5k,Masters,Expat-Arab,100-250,Quarterly,Snapchat,Micro,Reel,8+,Snapchat,No,No,NotSure,Story,Neutral,No,Neutral,No,Inauthentic,FriendsFamily,Month,"Price, Reviews"
32,Male,10-20k,HighSchool,Expat-Arab,<100,Monthly,Snapchat,Micro,Post,1-3,Snapchat,No,No,Expensive,"Post, Video, Reel",Neutral,No,SomewhatEffective,No,Inauthentic,OnlineSearch,Month,"Ingredients, Friends"
18,Other,10-20k,Bachelors,Expat-Asian,100-250,Monthly,"Snapchat, Facebook, TikTok",Macro,Post,1-3,Snapchat,Yes,No,TooManyOptions,"Video, Reel, Story",Likely,No,SomewhatEffective,Yes,Overpromo,InStore,Later,"Reviews, Friends"
21,Female,<5k,Masters,Expat-Arab,1000+,Monthly,"Snapchat, Instagram",Macro,Story,4-7,Snapchat,No,No,NotSure,"Video, Reel, Story",Neutral,No,SomewhatEffective,Yes,Unrelatable,SocialMedia,Month,"Influencer, Brand"
32,Female,5-10k,Masters,Emirati,1000+,Quarterly,"Snapchat, Facebook",Mega,Story,1-3,Facebook,No,No,NotSure,Reel,Neutral,11-25%,SomewhatEffective,No,Inauthentic,FriendsFamily,Month,"Price, Brand"
36,Male,5-10k,Masters,Expat-Asian,100-250,Monthly,"Instagram, TikTok",Macro,Story,1-3,Instagram,Yes,Yes,Expensive,Post,Likely,No,Neutral,No,Unrelatable,InStore,Never,"Friends, Influencer"
32,Female,5-10k,Masters,Expat-Western,250-500,Monthly,Facebook,Macro,Reel,None,Facebook,No,No,TooManyOptions,"Video, Post",VeryUnlikely,No,HighlyEffective,Yes,Overpromo,SocialMedia,Week,"Influencer, Friends"
30,Male,<5k,Bachelors,Expat-Arab,500-1000,Monthly,Snapchat,Celebrity,Post,1-3,Snapchat,Yes,Yes,TooManyOptions,"Video, Post, Story",Unlikely,1-10%,Neutral,Yes,Repetitive,SocialMedia,Week,"Friends, Influencer"
28,Male,5-10k,Bachelors,Expat-Arab,<100,Monthly,"Facebook, YouTube",Mega,Story,None,Facebook,Yes,No,NotTrusted,Post,Neutral,50%+,SomewhatEffective,No,Inauthentic,FriendsFamily,Month,"Ingredients, Price"
20,Male,10-20k,Masters,Expat-Asian,500-1000,Monthly,Facebook,Micro,Reel,1-3,Facebook,Yes,Yes,NotSure,Story,Likely,No,Neutral,No,Unrelatable,OnlineSearch,Later,"Friends, Ingredients"
25,Female,<5k,Bachelors,Emirati,1000+,Quarterly,Instagram,Micro,Post,1-3,Instagram,No,No,NotTrusted,"Story, Video, Post",Likely,No,SomewhatEffective,No,Unrelatable,OnlineSearch,Never,"Friends, Ingredients"
27,Female,<5k,Bachelors,Expat-Western,<100,Quarterly,"Snapchat, Instagram",Macro,Video,8+,Snapchat,Yes,Yes,NotSure,Reel,VeryLikely,50%+,SomewhatEffective,No,None,SocialMedia,Week,"Brand, Ingredients"
38,Female,5-10k,HighSchool,Expat-Western,<100,Quarterly,Facebook,Macro,Video,8+,Facebook,No,Yes,NotSure,"Video, Post",Likely,No,Neutral,Yes,Unrelatable,OnlineSearch,Later,"Reviews, Brand"
33,Female,30k+,Bachelors,Expat-Asian,1000+,Monthly,"YouTube, TikTok",Mega,Post,None,YouTube,No,No,TooManyOptions,Reel,Neutral,1-10%,Neutral,No,Repetitive,SocialMedia,Week,"Brand, Reviews"
18,Female,10-20k,Bachelors,Expat-Arab,250-500,Weekly,"Facebook, Snapchat",Macro,Story,1-3,Facebook,Yes,Yes,TooManyOptions,Post,Likely,No,SomewhatEffective,Yes,Repetitive,SocialMedia,Never,"Brand, Ingredients"
33,Male,10-20k,Bachelors,Expat-Western,<100,Monthly,"YouTube, Facebook, Instagram",Macro,Story,None,Facebook,Yes,Yes,Expensive,"Video, Post",Unlikely,26-50%,NotEffective,No,Unrelatable,SocialMedia,Month,"Friends, Price"
28,Male,5-10k,Bachelors,Expat-Asian,100-250,Rarely,"Instagram, TikTok",Celebrity,Reel,None,TikTok,Yes,Yes,Expensive,"Post, Reel, Story",VeryLikely,50%+,HighlyEffective,No,Inauthentic,FriendsFamily,Immediate,"Influencer, Brand"
26,Other,10-20k,Bachelors,Expat-Western,100-250,Monthly,Instagram,Macro,Reel,None,Instagram,No,No,NotSure,Reel,Likely,11-25%,HighlyEffective,No,Repetitive,FriendsFamily,Immediate,"Influencer, Reviews"
35,Male,<5k,Bachelors,Expat-Asian,250-500,Quarterly,"YouTube, Instagram, TikTok",Micro,Reel,8+,YouTube,Yes,Yes,TooManyOptions,"Video, Reel",Neutral,No,SomewhatEffective,No,Repetitive,SocialMedia,Week,"Influencer, Friends"
38,Female,10-20k,Bachelors,Expat-Asian,250-500,Weekly,"Facebook, YouTube",Mega,Reel,8+,YouTube,No,No,TooManyOptions,"Reel, Story, Video",Likely,No,Neutral,No,Overpromo,Ads,Week,"Reviews, Friends"
37,Female,20-30k,Bachelors,Expat-Asian,1000+,Monthly,"Instagram, Snapchat, Facebook",Micro,Post,1-3,Facebook,Yes,Yes,NotTrusted,"Story, Reel",Unlikely,No,NotEffective,No,Unrelatable,OnlineSearch,Later,"Reviews, Price"
25,Female,10-20k,Masters,Expat-Arab,100-250,Weekly,Snapchat,Mega,Reel,None,Snapchat,Yes,Yes,Expensive,Reel,VeryUnlikely,26-50%,SomewhatEffective,No,Repetitive,SocialMedia,Week,"Price, Ingredients"
28,Female,20-30k,Bachelors,Other,250-500,Monthly,"Snapchat, Instagram",Celebrity,Reel,1-3,Instagram,Yes,Yes,NotSure,"Story, Video",VeryLikely,26-50%,HighlyEffective,No,None,SocialMedia,Never,"Price, Ingredients"
33,Female,10-20k,Bachelors,Expat-Asian,250-500,Quarterly,YouTube,Macro,Reel,1-3,YouTube,Yes,Yes,Expensive,Story,VeryLikely,No,SomewhatEffective,Yes,None,FriendsFamily,Month,"Ingredients, Friends"
37,Female,<5k,HighSchool,Expat-Asian,100-250,Rarely,"YouTube, Snapchat, Instagram",Macro,Video,1-3,Instagram,No,No,Expensive,"Post, Video, Story",VeryLikely,1-10%,SomewhatEffective,No,Overpromo,SocialMedia,Month,"Influencer, Reviews"
27,Female,20-30k,Bachelors,Expat-Arab,<100,Monthly,"YouTube, TikTok",Macro,Reel,1-3,TikTok,No,No,HardToFind,"Video, Story, Post",Neutral,No,SomewhatEffective,No,Overpromo,FriendsFamily,Week,"Influencer, Brand"
29,Female,<5k,Bachelors,Expat-Asian,1000+,Monthly,"TikTok, Snapchat, Instagram",Macro,Post,4-7,Snapchat,Yes,Yes,TooManyOptions,"Video, Reel",Likely,1-10%,SomewhatEffective,Yes,Inauthentic,Ads,Later,"Friends, Price"
23,Male,10-20k,Masters,Expat-Asian,500-1000,Rarely,"Snapchat, Facebook, Instagram",Macro,Story,1-3,Snapchat,Yes,Yes,NotSure,Video,Neutral,1-10%,HighlyEffective,No,Inauthentic,SocialMedia,Month,"Influencer, Brand"
22,Female,<5k,Bachelors,Expat-Arab,100-250,Quarterly,"YouTube, Snapchat",Macro,Story,4-7,YouTube,Yes,Yes,TooManyOptions,"Post, Story, Reel",Likely,No,SomewhatEffective,Yes,Repetitive,FriendsFamily,Later,"Ingredients, Brand"
36,Female,<5k,Masters,Emirati,250-500,Weekly,"YouTube, TikTok, Facebook",Mega,Post,1-3,TikTok,Yes,Yes,Expensive,"Story, Post",Neutral,No,SomewhatEffective,No,Overpromo,InStore,Never,"Price, Brand"
40,Male,5-10k,Bachelors,Expat-Asian,100-250,Monthly,TikTok,Macro,Video,1-3,TikTok,Yes,No,Expensive,"Story, Video, Reel",Neutral,No,Neutral,No,Unrelatable,OnlineSearch,Week,"Price, Ingredients"
30,Female,5-10k,Bachelors,Expat-Asian,250-500,Monthly,"Snapchat, Instagram, Facebook",Micro,Post,4-7,Facebook,No,No,NotTrusted,"Post, Story, Video",Likely,11-25%,SomewhatEffective,No,Unrelatable,Ads,Week,"Reviews, Price"
38,Female,10-20k,Bachelors,Expat-Asian,250-500,Monthly,Instagram,Macro,Reel,4-7,Instagram,No,No,TooManyOptions,Story,Likely,26-50%,HighlyEffective,No,Repetitive,SocialMedia,Later,"Friends, Influencer"
33,Female,10-20k,Masters,Expat-Arab,250-500,Monthly,Facebook,Mega,Story,1-3,Facebook,Yes,Yes,NotSure,"Video, Post, Story",VeryLikely,50%+,SomewhatEffective,No,Inauthentic,SocialMedia,Later,"Reviews, Influencer"
26,Male,<5k,Bachelors,Expat-Asian,1000+,Monthly,"Facebook, Snapchat, Instagram",Macro,Post,1-3,Facebook,No,No,NotSure,"Video, Story, Post",Likely,1-10%,SomewhatEffective,No,Inauthentic,OnlineSearch,Month,"Price, Reviews"
33,Female,<5k,Bachelors,Emirati,250-500,Monthly,Snapchat,Macro,Video,8+,Snapchat,Yes,Yes,NotTrusted,Story,Likely,1-10%,HighlyEffective,Yes,Overpromo,InStore,Month,"Ingredients, Price"
41,Female,10-20k,Bachelors,Expat-Asian,100-250,Monthly,"YouTube, TikTok",Mega,Video,None,YouTube,Yes,Yes,NotSure,"Story, Post, Video",Likely,No,SomewhatEffective,No,Overpromo,OnlineSearch,Month,"Friends, Brand"
30,Male,5-10k,Bachelors,Expat-Arab,250-500,Monthly,YouTube,Macro,Reel,None,YouTube,Yes,Yes,TooManyOptions,"Story, Video, Post",Unlikely,50%+,NotEffective,Yes,None,SocialMedia,Week,"Influencer, Ingredients"
41,Male,10-20k,Bachelors,Expat-Arab,<100,Quarterly,YouTube,Macro,Post,1-3,YouTube,Yes,Yes,Expensive,Video,Unlikely,1-10%,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Price, Friends"
18,Female,10-20k,Bachelors,Expat-Arab,100-250,Quarterly,TikTok,Mega,Post,4-7,TikTok,Yes,Yes,NotSure,Reel,Unlikely,1-10%,SomewhatEffective,No,Overpromo,OnlineSearch,Month,"Brand, Influencer"
36,Male,20-30k,Bachelors,Expat-Arab,100-250,Monthly,"Instagram, TikTok",Micro,Story,4-7,TikTok,Yes,Yes,NotSure,"Post, Reel, Video",Likely,1-10%,SomewhatEffective,No,Repetitive,SocialMedia,Week,"Brand, Friends"
31,Female,10-20k,Bachelors,Emirati,100-250,Rarely,"Facebook, Snapchat",Celebrity,Story,4-7,Snapchat,Yes,No,TooManyOptions,"Video, Post, Story",Neutral,11-25%,SomewhatEffective,Yes,Overpromo,SocialMedia,Month,"Friends, Price"
28,Female,5-10k,Bachelors,Expat-Arab,250-500,Quarterly,"Instagram, Snapchat",Micro,Story,1-3,Snapchat,Yes,Yes,Expensive,"Video, Post, Story",Likely,No,NotEffective,Yes,Repetitive,OnlineSearch,Never,"Friends, Reviews"
31,Male,10-20k,Masters,Expat-Asian,100-250,Monthly,"Facebook, Snapchat, TikTok",Micro,Video,None,Facebook,No,No,NotTrusted,"Reel, Video, Post",Likely,No,NotEffective,Yes,Inauthentic,SocialMedia,Later,"Price, Reviews"
18,Female,5-10k,Masters,Expat-Asian,250-500,Weekly,"YouTube, TikTok",Mega,Reel,1-3,TikTok,No,No,Expensive,"Post, Story",Likely,1-10%,SomewhatEffective,No,Repetitive,FriendsFamily,Never,"Brand, Friends"
29,Female,5-10k,Masters,Expat-Arab,250-500,Quarterly,TikTok,Micro,Video,4-7,TikTok,Yes,Yes,NotTrusted,"Video, Post, Story",VeryLikely,26-50%,SomewhatEffective,Yes,Overpromo,SocialMedia,Later,"Brand, Price"
33,Female,10-20k,Bachelors,Expat-Western,100-250,Quarterly,"Snapchat, YouTube",Macro,Reel,None,Snapchat,Yes,Yes,HardToFind,Video,Likely,1-10%,Neutral,No,Inauthentic,FriendsFamily,Week,"Reviews, Price"
41,Male,5-10k,HighSchool,Expat-Arab,500-1000,Rarely,"Snapchat, YouTube",Mega,Story,None,YouTube,Yes,Yes,Expensive,Story,Likely,No,HighlyEffective,Yes,Inauthentic,FriendsFamily,Later,"Brand, Price"
27,Female,20-30k,Bachelors,Expat-Asian,100-250,Quarterly,Facebook,Mega,Video,None,Facebook,No,No,NotTrusted,Story,VeryUnlikely,No,Neutral,Yes,Overpromo,InStore,Never,"Reviews, Influencer"
25,Male,20-30k,Bachelors,Emirati,100-250,Monthly,"TikTok, YouTube, Snapchat",Celebrity,Story,1-3,YouTube,Yes,Yes,HardToFind,Video,Likely,11-25%,Neutral,No,Repetitive,InStore,Never,"Influencer, Brand"
27,Female,20-30k,Bachelors,Emirati,250-500,Monthly,"Instagram, YouTube",Micro,Video,4-7,YouTube,Yes,Yes,NotSure,"Reel, Story, Video",Unlikely,11-25%,HighlyEffective,Yes,Inauthentic,SocialMedia,Month,"Price, Influencer"
37,Female,20-30k,HighSchool,Expat-Asian,100-250,Weekly,"Facebook, TikTok, Instagram",Macro,Story,1-3,TikTok,Yes,Yes,NotSure,"Story, Reel, Video",Likely,1-10%,NotEffective,No,Unrelatable,SocialMedia,Week,"Price, Brand"
33,Male,5-10k,Bachelors,Expat-Asian,<100,Monthly,"Snapchat, TikTok, YouTube",Micro,Post,8+,YouTube,Yes,Yes,TooManyOptions,"Story, Video",VeryLikely,No,NotEffective,No,Unrelatable,SocialMedia,Immediate,"Price, Friends"
27,Female,5-10k,HighSchool,Expat-Western,250-500,Monthly,"TikTok, Snapchat, Instagram",Macro,Video,None,TikTok,Yes,Yes,NotTrusted,"Story, Post, Reel",Likely,26-50%,NotEffective,Yes,Unrelatable,OnlineSearch,Week,"Influencer, Brand"
34,Male,10-20k,Masters,Expat-Asian,250-500,Quarterly,TikTok,Mega,Reel,4-7,TikTok,No,No,Expensive,Post,Neutral,1-10%,SomewhatEffective,No,Repetitive,SocialMedia,Never,"Influencer, Friends"
31,Female,5-10k,Bachelors,Other,100-250,Monthly,"YouTube, TikTok, Instagram",Macro,Video,4-7,TikTok,No,No,Expensive,"Video, Post, Story",VeryLikely,11-25%,SomewhatEffective,No,Inauthentic,InStore,Month,"Brand, Ingredients"
37,Male,10-20k,Bachelors,Emirati,1000+,Quarterly,"Instagram, Snapchat, Facebook",Macro,Video,1-3,Snapchat,Yes,Yes,TooManyOptions,"Post, Reel",Likely,No,SomewhatEffective,Yes,Unrelatable,Ads,Later,"Brand, Influencer"
26,Female,10-20k,HighSchool,Emirati,250-500,Monthly,TikTok,Macro,Post,8+,TikTok,Yes,Yes,NotSure,"Video, Story, Post",Likely,No,SomewhatEffective,Yes,None,OnlineSearch,Month,"Friends, Price"
28,Female,10-20k,Bachelors,Emirati,500-1000,Monthly,"Facebook, YouTube, Snapchat",Macro,Story,1-3,YouTube,Yes,Yes,TooManyOptions,"Video, Post, Story",Likely,26-50%,SomewhatEffective,No,Unrelatable,FriendsFamily,Month,"Price, Brand"
28,Male,5-10k,Bachelors,Expat-Arab,<100,Weekly,"Facebook, Snapchat, TikTok",Celebrity,Story,4-7,TikTok,Yes,Yes,Expensive,Post,Neutral,No,SomewhatEffective,Yes,Unrelatable,InStore,Immediate,"Friends, Price"
20,Male,<5k,Masters,Expat-Asian,250-500,Monthly,Snapchat,Micro,Reel,4-7,Snapchat,No,No,TooManyOptions,"Post, Story",Likely,1-10%,Neutral,No,Repetitive,OnlineSearch,Week,"Influencer, Ingredients"
33,Male,5-10k,Masters,Expat-Asian,500-1000,Quarterly,Snapchat,Macro,Reel,4-7,Snapchat,Yes,Yes,Expensive,"Reel, Story, Post",VeryLikely,1-10%,HighlyEffective,No,Overpromo,OnlineSearch,Month,"Influencer, Reviews"
32,Female,<5k,Bachelors,Emirati,250-500,Quarterly,"TikTok, Snapchat",Mega,Story,1-3,Snapchat,Yes,Yes,NotSure,"Post, Video, Reel",Unlikely,11-25%,SomewhatEffective,Yes,Unrelatable,Ads,Month,"Brand, Influencer"
31,Male,20-30k,Masters,Expat-Western,250-500,Rarely,"YouTube, Snapchat",Macro,Reel,None,YouTube,Yes,No,NotSure,"Post, Story",Likely,No,HighlyEffective,No,Repetitive,InStore,Week,"Friends, Brand"
29,Female,5-10k,Doctorate,Expat-Western,100-250,Monthly,"YouTube, Facebook",Micro,Reel,1-3,Facebook,No,No,Expensive,"Post, Story, Reel",Neutral,No,Neutral,No,Inauthentic,SocialMedia,Later,"Price, Ingredients"
21,Female,<5k,Masters,Expat-Arab,<100,Monthly,"TikTok, Instagram, YouTube",Macro,Post,1-3,Instagram,No,No,NotSure,"Video, Post",Neutral,26-50%,SomewhatEffective,No,Repetitive,FriendsFamily,Month,"Price, Influencer"
28,Male,<5k,Masters,Emirati,100-250,Monthly,"YouTube, TikTok, Snapchat",Micro,Reel,4-7,TikTok,Yes,Yes,TooManyOptions,"Reel, Video",VeryUnlikely,1-10%,HighlyEffective,No,Inauthentic,SocialMedia,Later,"Reviews, Price"
28,Female,10-20k,Bachelors,Expat-Arab,100-250,Monthly,"Instagram, Snapchat, Facebook",Micro,Reel,4-7,Instagram,Yes,Yes,NotTrusted,Post,Likely,No,NotEffective,No,Overpromo,OnlineSearch,Week,"Reviews, Influencer"
25,Female,10-20k,Bachelors,Emirati,500-1000,Quarterly,TikTok,Mega,Video,4-7,TikTok,Yes,Yes,TooManyOptions,"Reel, Story, Post",Neutral,No,HighlyEffective,Yes,Repetitive,Ads,Month,"Friends, Ingredients"
29,Male,5-10k,HighSchool,Emirati,100-250,Quarterly,"TikTok, YouTube, Facebook",Macro,Story,None,Facebook,No,No,HardToFind,"Post, Video",Likely,50%+,SomewhatEffective,No,Repetitive,FriendsFamily,Week,"Price, Influencer"
33,Male,<5k,HighSchool,Expat-Asian,1000+,Quarterly,"Facebook, Instagram",Celebrity,Post,4-7,Facebook,Yes,Yes,NotTrusted,"Reel, Video",Neutral,No,Neutral,No,Repetitive,SocialMedia,Later,"Ingredients, Reviews"
44,Male,5-10k,Doctorate,Expat-Arab,1000+,Monthly,Instagram,Mega,Story,8+,Instagram,Yes,No,NotSure,"Video, Story",Likely,1-10%,Neutral,No,None,SocialMedia,Month,"Friends, Price"
32,Female,5-10k,Bachelors,Expat-Arab,100-250,Quarterly,YouTube,Macro,Post,4-7,YouTube,Yes,Yes,NotTrusted,Post,Likely,No,HighlyEffective,No,Overpromo,Ads,Month,"Influencer, Reviews"
32,Female,10-20k,Masters,Other,100-250,Weekly,YouTube,Micro,Video,None,YouTube,No,Yes,TooManyOptions,"Video, Post, Story",Unlikely,26-50%,NotEffective,No,Unrelatable,Ads,Never,"Brand, Ingredients"
