Age,Gender,Nationality,Occupation,Income_Bracket,Income_Numeric,Buy_Frequency,Monthly_Spend,Brand_Preferences,Influencer_Purchased,Platforms_Followed,Influencer_Tier,Ad_Formats_Engaged,Engagement_Level,Motivations,Skincare_Concerns,Online_Buying_Challenges,Influencer_1Month_Importance,Likelihood_Buy_Next_Month,Giveaway_Challenge_Participation,Willingness_to_Pay_More,Open_Feedback,Last_Brand_Purchased
25-34,Female,Other,Employed full-time,5000-10000,11895.0,Once a month,897.0,"Dermatologist-recommended,Drugstore,Premium,International brands",No,"TikTok,Snapchat",Macro-influencer,"Long-form Video,Blog/Article",Often,"Ingredients,Dermatologist advice",Acne,Too many choices,Very important,Very likely,Yes,0% (none),,
18-24,Male,Pakistani,Employed full-time,5000-10000,7145.0,Less than once a month,2371.0,"K-beauty/J-beauty,Organic/Natural",Yes,Instagram,Macro-influencer,"Reel/Short Video,Blog/Article,Live Stream",Never,"Influencer recommendation,Brand reputation","Hyperpigmentation,Aging/wrinkles,Oily skin","Not sure if product suits me,Prefer in-store experience,Hard to judge authenticity",Neutral,Likely,Maybe,11–20%,,CeraVe
18-24,Female,Other,Employed part-time,10000-20000,29541.0,Once a month,789.0,"Local brands,Drugstore",Yes,TikTok,Micro-influencer,Story,Often,"Influencer recommendation,Discounts/offers",Acne,"Hard to judge authenticity,Lack of trust in reviews",Important,Very likely,Maybe,11–20%,Include more before-and-after photos.,
25-34,Non-binary/Other,Emirati,Employed full-time,20000-35000,13432.0,Weekly,316.0,"Drugstore,Premium,International brands",Yes,"Instagram,YouTube",Macro-influencer,"Long-form Video,Story,Blog/Article",Sometimes,"Reviews,Ingredients","Hyperpigmentation,Oily skin,Aging/wrinkles","Not sure if product suits me,Too many choices",Somewhat important,Unlikely,Yes,1–10%,Be more transparent about paid partnerships.,The Ordinary
25-34,Female,Filipino,Student,10000-20000,25955.0,Once a month,401.0,Organic/Natural,Yes,"Instagram,TikTok",Celebrity influencer,Blog/Article,Often,"Reviews,Ingredients","Aging/wrinkles,Dryness","Not sure if product suits me,Lack of trust in reviews,Too many choices",Not important,Very likely,Maybe,0% (none),Show skincare routine without filters.,
35-44,Female,Indian,Employed full-time,20000-35000,8749.0,2–3 times a month,565.0,"International brands,Organic/Natural",No,"Instagram,TikTok,YouTube",Micro-influencer,"Long-form Video,Story,Post",Always,"Reviews,Dermatologist advice","Oily skin,Hyperpigmentation,Dryness","Delivery issues,Not sure if product suits me",Very important,Likely,Yes,0% (none),,
18-24,Female,British,Other,5000-10000,28180.0,2–3 times a month,537.0,"Premium,Dermatologist-recommended,K-beauty/J-beauty",No,"Snapchat,Instagram",Celebrity influencer,"Live Stream,Story",Often,"Ingredients,Influencer recommendation","Dryness,Aging/wrinkles,Oily skin","Prefer in-store experience,Hard to judge authenticity,Not sure if product suits me",Important,Likely,Yes,Over 30%,Share more honest reviews.,Glow Recipe
25-34,Female,Other,Employed part-time,<5000,14931.0,Weekly,288.0,Drugstore,Yes,"TikTok,Instagram",Micro-influencer,"Blog/Article,Reel/Short Video",Sometimes,"Reviews,Brand reputation","Aging/wrinkles,Oily skin,Acne,Dryness","Not sure if product suits me,Lack of trust in reviews,Delivery issues",Very important,Likely,No,1–10%,Be more transparent about paid partnerships.,The Ordinary
25-34,Male,Indian,Employed part-time,10000-20000,13654.0,Weekly,2325.0,International brands,Yes,"Instagram,Facebook,TikTok",Micro-influencer,Post,Rarely,"Discounts/offers,Ingredients","Acne,Aging/wrinkles,Hyperpigmentation,Oily skin",Too many choices,Neutral,Likely,Yes,11–20%,,
Under 18,Female,Pakistani,Employed part-time,5000-10000,3164.0,Weekly,947.0,Local brands,Yes,"TikTok,YouTube,Other",Micro-influencer,"Reel/Short Video,Story",Often,"Reviews,Discounts/offers","Oily skin,Acne,Hyperpigmentation","Lack of trust in reviews,Hard to judge authenticity",Very important,Likely,Yes,0% (none),,
25-34,Male,Indian,Employed full-time,10000-20000,5246.0,Less than once a month,1166.0,Premium,No,Instagram,Macro-influencer,"Reel/Short Video,Post",Sometimes,"Influencer recommendation,Reviews","Oily skin,Acne,Hyperpigmentation,Dryness","Not sure if product suits me,Lack of trust in reviews,Hard to judge authenticity",Important,Neutral,Yes,11–20%,Include more before-and-after photos.,La Roche-Posay
18-24,Female,Pakistani,Employed full-time,5000-10000,8843.0,2–3 times a month,1771.0,"Drugstore,Premium,K-beauty/J-beauty,International brands",Yes,"Snapchat,Instagram,TikTok",Macro-influencer,Reel/Short Video,Never,"Influencer recommendation,Reviews",Sensitivity,"Hard to judge authenticity,Lack of trust in reviews,Not sure if product suits me",Important,Likely,No,0% (none),,
18-24,Male,Filipino,Business owner,<5000,9480.0,Weekly,885.0,Dermatologist-recommended,Yes,"TikTok,YouTube,Instagram",Macro-influencer,"Blog/Article,Post,Long-form Video",Often,"Reviews,Friends/family recommendation",Acne,"Hard to judge authenticity,Delivery issues,Prefer in-store experience",Neutral,Likely,Maybe,0% (none),Be more transparent about paid partnerships.,
45 or older,Male,Other,Student,>35000,10260.0,Less than once a month,637.0,International brands,Yes,"Instagram,TikTok",Macro-influencer,"Post,Blog/Article,Reel/Short Video",Rarely,"Ingredients,Packaging/design",Dryness,Prefer in-store experience,Very important,Very likely,No,1–10%,Be more transparent about paid partnerships.,
45 or older,Male,Pakistani,Employed full-time,<5000,3636.0,2–3 times a month,1334.0,"International brands,K-beauty/J-beauty,Dermatologist-recommended,Drugstore",No,Snapchat,Micro-influencer,"Blog/Article,Reel/Short Video",Never,"Influencer recommendation,Brand reputation","Aging/wrinkles,Acne,Oily skin","Not sure if product suits me,Hard to judge authenticity,Too many choices",Very important,Neutral,No,1–10%,Show skincare routine without filters.,Cetaphil
35-44,Female,Indian,Employed full-time,>35000,6299.0,Weekly,646.0,"Premium,Local brands,K-beauty/J-beauty",Yes,YouTube,Micro-influencer,Long-form Video,Always,"Ingredients,Influencer recommendation",Dryness,"Not sure if product suits me,Delivery issues",Important,Neutral,No,0% (none),,
18-24,Male,Indian,Employed full-time,>35000,10642.0,2–3 times a month,462.0,Premium,Yes,"YouTube,Instagram",Micro-influencer,"Long-form Video,Post",Sometimes,"Discounts/offers,Dermatologist advice","Other,Acne",Not sure if product suits me,Important,Very unlikely,Yes,11–20%,Use less retouching in photos.,CeraVe
18-24,Female,Indian,Other,20000-35000,33505.0,Less than once a month,131.0,Drugstore,No,TikTok,Celebrity influencer,"Live Stream,Post,Story",Rarely,"Influencer recommendation,Ingredients","Oily skin,Acne",Too many choices,Important,Likely,Maybe,1–10%,,Cetaphil
25-34,Male,Indian,Student,10000-20000,13705.0,Less than once a month,894.0,"Drugstore,International brands",No,"Instagram,TikTok,Facebook",Micro-influencer,Story,Often,"Ingredients,Friends/family recommendation",Sensitivity,"Hard to judge authenticity,Prefer in-store experience,Delivery issues",Very important,Neutral,No,21–30%,Include more before-and-after photos.,
25-34,Male,Indian,Employed full-time,10000-20000,25029.0,2–3 times a month,1251.0,"International brands,Dermatologist-recommended,Drugstore,Organic/Natural",No,Other,Mega-influencer,"Post,Reel/Short Video,Blog/Article",Often,"Brand reputation,Reviews","Acne,Aging/wrinkles,Dryness",Delivery issues,Very important,Neutral,Yes,0% (none),,
18-24,Female,Egyptian,Employed full-time,20000-35000,14927.0,Once a month,663.0,"Drugstore,Premium",Yes,"Instagram,Snapchat,TikTok",Micro-influencer,"Story,Blog/Article",Never,"Ingredients,Packaging/design","Acne,Aging/wrinkles,Dryness","Not sure if product suits me,Lack of trust in reviews,Delivery issues",Neutral,Likely,Yes,0% (none),Show skincare routine without filters.,The Ordinary
25-34,Female,Pakistani,Other,5000-10000,10062.0,2–3 times a month,846.0,"Drugstore,Dermatologist-recommended,Organic/Natural,International brands",No,"Instagram,YouTube,TikTok",Micro-influencer,"Story,Blog/Article,Post",Often,"Ingredients,Brand reputation","Oily skin,Hyperpigmentation,Sensitivity,Acne","Too many choices,Lack of trust in reviews",Important,Neutral,Maybe,21–30%,Be more transparent about paid partnerships.,
Under 18,Male,Filipino,Student,5000-10000,3919.0,Weekly,300.0,Drugstore,No,Instagram,Micro-influencer,"Reel/Short Video,Story,Long-form Video",Often,"Dermatologist advice,Influencer recommendation","Other,Aging/wrinkles,Acne,Hyperpigmentation","Lack of trust in reviews,Not sure if product suits me,Prefer in-store experience",Neutral,Very likely,Yes,1–10%,Share more honest reviews.,
45 or older,Female,Indian,Employed full-time,10000-20000,11888.0,Once a month,292.0,"Drugstore,Premium,K-beauty/J-beauty",No,"YouTube,Instagram,TikTok",Micro-influencer,"Reel/Short Video,Story,Long-form Video",Rarely,"Influencer recommendation,Brand reputation","Oily skin,Other,Acne","Not sure if product suits me,Too many choices,Prefer in-store experience",Important,Likely,Maybe,1–10%,,Drunk Elephant
18-24,Female,Egyptian,Business owner,5000-10000,10789.0,Weekly,1733.0,"Local brands,Drugstore",No,"Instagram,TikTok,YouTube",Celebrity influencer,"Post,Reel/Short Video",Sometimes,"Reviews,Influencer recommendation","Oily skin,Aging/wrinkles",Prefer in-store experience,Very important,Very likely,Yes,0% (none),,Neutrogena
25-34,Female,British,Business owner,5000-10000,10302.0,2–3 times a month,593.0,"International brands,Dermatologist-recommended,Organic/Natural",No,Instagram,Macro-influencer,"Post,Long-form Video",Never,"Discounts/offers,Brand reputation","Acne,Aging/wrinkles,Sensitivity,Dryness","Lack of trust in reviews,Hard to judge authenticity,Delivery issues",Neutral,Very unlikely,No,21–30%,Share more honest reviews.,Glow Recipe
18-24,Male,Emirati,Employed full-time,5000-10000,8056.0,Once a month,636.0,"Premium,Local brands",Yes,"YouTube,Facebook",Celebrity influencer,"Story,Blog/Article",Often,"Influencer recommendation,Ingredients",Dryness,"Delivery issues,Hard to judge authenticity",Somewhat important,Neutral,Yes,11–20%,Show skincare routine without filters.,
25-34,Male,British,Employed full-time,10000-20000,8770.0,Weekly,804.0,Premium,Yes,YouTube,Mega-influencer,"Long-form Video,Live Stream",Often,"Influencer recommendation,Discounts/offers","Acne,Hyperpigmentation,Dryness",Not sure if product suits me,Very important,Neutral,Maybe,11–20%,,Drunk Elephant
25-34,Female,Filipino,Employed full-time,20000-35000,5664.0,Weekly,304.0,"Drugstore,Local brands",No,"TikTok,YouTube",Macro-influencer,"Story,Reel/Short Video",Never,"Influencer recommendation,Brand reputation",Oily skin,Too many choices,Important,Likely,No,21–30%,Share more honest reviews.,
18-24,Male,Emirati,Employed full-time,5000-10000,8593.0,2–3 times a month,829.0,"International brands,Drugstore",Yes,"YouTube,TikTok,Instagram",Macro-influencer,"Story,Reel/Short Video,Long-form Video",Often,"Dermatologist advice,Packaging/design","Dryness,Aging/wrinkles,Acne","Not sure if product suits me,Hard to judge authenticity,Prefer in-store experience",Important,Unlikely,Yes,1–10%,,Huda Beauty
45 or older,Female,Filipino,Employed full-time,20000-35000,3981.0,Weekly,1687.0,"Organic/Natural,International brands",Yes,"Instagram,TikTok,Other",Macro-influencer,"Reel/Short Video,Post,Story",Often,"Reviews,Discounts/offers","Aging/wrinkles,Hyperpigmentation,Dryness,Other","Not sure if product suits me,Hard to judge authenticity,Delivery issues",Somewhat important,Neutral,Yes,0% (none),Include more before-and-after photos.,Huda Beauty
35-44,Female,Filipino,Employed full-time,10000-20000,16721.0,Weekly,418.0,"Local brands,Premium,K-beauty/J-beauty",Yes,"Instagram,Snapchat,TikTok",Macro-influencer,"Blog/Article,Reel/Short Video",Sometimes,"Influencer recommendation,Reviews",Aging/wrinkles,Too many choices,Somewhat important,Very likely,Yes,1–10%,Show skincare routine without filters.,Cetaphil
45 or older,Female,Indian,Employed full-time,20000-35000,3850.0,Weekly,1176.0,Local brands,No,"Facebook,Instagram,YouTube",Micro-influencer,"Reel/Short Video,Post,Story",Often,"Discounts/offers,Packaging/design","Aging/wrinkles,Sensitivity","Too many choices,Not sure if product suits me,Hard to judge authenticity",Neutral,Unlikely,Maybe,11–20%,Use less retouching in photos.,Glow Recipe
35-44,Female,Other,Employed full-time,10000-20000,2799.0,2–3 times a month,600.0,"Local brands,K-beauty/J-beauty,International brands,Premium",Yes,"Instagram,TikTok",Micro-influencer,"Reel/Short Video,Long-form Video,Post",Never,"Influencer recommendation,Reviews","Aging/wrinkles,Sensitivity,Hyperpigmentation","Hard to judge authenticity,Not sure if product suits me,Prefer in-store experience",Important,Likely,Maybe,11–20%,Be more transparent about paid partnerships.,CeraVe
25-34,Prefer not to say,Egyptian,Employed part-time,20000-35000,7158.0,Weekly,461.0,Dermatologist-recommended,No,TikTok,Macro-influencer,"Post,Story",Always,"Dermatologist advice,Discounts/offers","Aging/wrinkles,Acne,Dryness,Hyperpigmentation","Hard to judge authenticity,Too many choices,Not sure if product suits me",Important,Likely,Maybe,1–10%,,
45 or older,Male,Pakistani,Other,<5000,11665.0,More than once a week,2026.0,"Drugstore,International brands",No,Other,Micro-influencer,"Long-form Video,Post,Reel/Short Video",Sometimes,"Friends/family recommendation,Discounts/offers","Aging/wrinkles,Acne,Oily skin,Dryness","Not sure if product suits me,Delivery issues",Important,Unlikely,Yes,0% (none),Be more transparent about paid partnerships.,Huda Beauty
18-24,Female,Filipino,Employed full-time,20000-35000,7182.0,Weekly,1555.0,"Drugstore,Dermatologist-recommended,International brands",Yes,"YouTube,Snapchat,Instagram",Macro-influencer,Post,Sometimes,"Reviews,Brand reputation","Aging/wrinkles,Sensitivity","Prefer in-store experience,Lack of trust in reviews,Delivery issues",Somewhat important,Likely,No,11–20%,Be more transparent about paid partnerships.,Glow Recipe
18-24,Female,Filipino,Student,<5000,4916.0,Less than once a month,1194.0,"Drugstore,K-beauty/J-beauty",Yes,"YouTube,Facebook",Mega-influencer,"Reel/Short Video,Post",Often,"Influencer recommendation,Reviews","Aging/wrinkles,Dryness,Other,Acne","Delivery issues,Not sure if product suits me,Hard to judge authenticity",Somewhat important,Likely,Maybe,1–10%,Share more honest reviews.,
Under 18,Female,Pakistani,Student,20000-35000,9351.0,2–3 times a month,781.0,International brands,Yes,"YouTube,Instagram,Other",Macro-influencer,"Reel/Short Video,Post,Long-form Video",Sometimes,"Packaging/design,Discounts/offers","Other,Sensitivity",Lack of trust in reviews,Not important,Neutral,Maybe,0% (none),Show skincare routine without filters.,CeraVe
18-24,Female,Filipino,Other,>35000,5836.0,2–3 times a month,642.0,"International brands,Premium",Yes,"Snapchat,Other",Macro-influencer,"Story,Long-form Video,Reel/Short Video",Often,"Influencer recommendation,Ingredients",Aging/wrinkles,Too many choices,Important,Neutral,Yes,1–10%,,
25-34,Female,Emirati,Employed full-time,5000-10000,26310.0,Once a month,1126.0,"International brands,Premium,Drugstore",Yes,"YouTube,Instagram",Micro-influencer,Long-form Video,Sometimes,"Packaging/design,Influencer recommendation",Aging/wrinkles,"Lack of trust in reviews,Not sure if product suits me,Too many choices",Neutral,Very likely,No,Over 30%,,Drunk Elephant
18-24,Prefer not to say,Filipino,Student,5000-10000,25034.0,More than once a week,661.0,"Drugstore,Premium",Yes,YouTube,Mega-influencer,"Long-form Video,Story",Always,"Reviews,Discounts/offers",Acne,"Hard to judge authenticity,Too many choices,Delivery issues",Very important,Unlikely,No,0% (none),Share more honest reviews.,La Roche-Posay
35-44,Female,Egyptian,Employed full-time,10000-20000,8281.0,Once a month,135.0,"Drugstore,K-beauty/J-beauty,Dermatologist-recommended,Premium",No,"YouTube,Snapchat",Micro-influencer,"Post,Story",Sometimes,"Packaging/design,Ingredients","Hyperpigmentation,Oily skin","Hard to judge authenticity,Prefer in-store experience",Neutral,Neutral,No,0% (none),,Glow Recipe
25-34,Female,Filipino,Employed part-time,5000-10000,5576.0,Once a month,261.0,Drugstore,Yes,"YouTube,Instagram",Celebrity influencer,"Reel/Short Video,Story,Long-form Video",Rarely,"Ingredients,Influencer recommendation",Dryness,"Not sure if product suits me,Hard to judge authenticity,Lack of trust in reviews",Neutral,Likely,Yes,0% (none),Use less retouching in photos.,The Ordinary
18-24,Female,Emirati,Employed part-time,20000-35000,14025.0,More than once a week,1773.0,Drugstore,No,Instagram,Celebrity influencer,"Story,Blog/Article,Live Stream",Always,"Influencer recommendation,Reviews","Acne,Aging/wrinkles,Oily skin","Not sure if product suits me,Lack of trust in reviews,Too many choices",Important,Unlikely,Yes,0% (none),Include more before-and-after photos.,Huda Beauty
25-34,Female,Egyptian,Employed full-time,<5000,2337.0,2–3 times a month,736.0,"International brands,Premium",Yes,YouTube,Mega-influencer,"Long-form Video,Post",Often,"Reviews,Influencer recommendation","Acne,Dryness",Not sure if product suits me,Neutral,Very likely,Maybe,0% (none),Show skincare routine without filters.,La Roche-Posay
18-24,Male,Indian,Student,<5000,7795.0,Less than once a month,554.0,"K-beauty/J-beauty,Premium,Organic/Natural,Drugstore",No,"YouTube,Instagram,TikTok",Micro-influencer,Post,Often,"Discounts/offers,Influencer recommendation",Aging/wrinkles,"Hard to judge authenticity,Prefer in-store experience,Delivery issues",Very important,Neutral,Yes,21–30%,Share more honest reviews.,
35-44,Male,Indian,Other,>35000,5690.0,2–3 times a month,1187.0,"Premium,Organic/Natural,K-beauty/J-beauty",Yes,Snapchat,Micro-influencer,"Long-form Video,Blog/Article,Reel/Short Video",Always,"Packaging/design,Discounts/offers",Aging/wrinkles,Not sure if product suits me,Very important,Neutral,Yes,0% (none),Be more transparent about paid partnerships.,
18-24,Male,Indian,Employed full-time,10000-20000,24792.0,2–3 times a month,389.0,"Local brands,Organic/Natural,Premium",No,"Facebook,Instagram",Celebrity influencer,Reel/Short Video,Never,"Influencer recommendation,Dermatologist advice","Acne,Sensitivity","Not sure if product suits me,Hard to judge authenticity,Prefer in-store experience",Not important,Likely,Maybe,21–30%,,Huda Beauty
45 or older,Male,Indian,Employed part-time,20000-35000,2109.0,Less than once a month,752.0,Organic/Natural,No,TikTok,Mega-influencer,Blog/Article,Sometimes,"Friends/family recommendation,Influencer recommendation",Hyperpigmentation,"Too many choices,Lack of trust in reviews,Not sure if product suits me",Important,Very unlikely,No,0% (none),Share more honest reviews.,Neutrogena
35-44,Male,British,Business owner,5000-10000,9243.0,More than once a week,792.0,"International brands,Drugstore,Organic/Natural,Dermatologist-recommended",No,"YouTube,TikTok,Facebook",Mega-influencer,"Post,Blog/Article,Reel/Short Video",Rarely,"Ingredients,Brand reputation","Dryness,Oily skin,Acne,Sensitivity","Lack of trust in reviews,Prefer in-store experience",Important,Likely,Maybe,21–30%,,Neutrogena
18-24,Male,Filipino,Employed part-time,10000-20000,14147.0,2–3 times a month,469.0,International brands,Yes,"Instagram,Facebook,YouTube",Macro-influencer,"Post,Story,Live Stream",Sometimes,"Discounts/offers,Reviews","Oily skin,Aging/wrinkles,Sensitivity,Hyperpigmentation",Delivery issues,Very important,Very likely,Yes,0% (none),Be more transparent about paid partnerships.,La Roche-Posay
Under 18,Male,Indian,Employed full-time,10000-20000,7973.0,2–3 times a month,718.0,"K-beauty/J-beauty,Drugstore",No,"Snapchat,Instagram,Facebook",Macro-influencer,"Long-form Video,Post,Reel/Short Video",Often,"Discounts/offers,Reviews",Dryness,"Not sure if product suits me,Delivery issues",Neutral,Unlikely,No,1–10%,Include more before-and-after photos.,
35-44,Male,Egyptian,Employed full-time,10000-20000,2803.0,2–3 times a month,338.0,"K-beauty/J-beauty,Drugstore,Dermatologist-recommended,Organic/Natural",Yes,YouTube,Micro-influencer,"Story,Blog/Article,Post",Always,"Dermatologist advice,Packaging/design","Hyperpigmentation,Aging/wrinkles,Acne,Oily skin","Prefer in-store experience,Lack of trust in reviews,Not sure if product suits me",Somewhat important,Neutral,Yes,0% (none),Show skincare routine without filters.,Huda Beauty
35-44,Prefer not to say,Egyptian,Employed full-time,10000-20000,34329.0,2–3 times a month,275.0,"Organic/Natural,Drugstore,International brands,Dermatologist-recommended",Yes,"YouTube,Instagram,Facebook",Mega-influencer,Reel/Short Video,Sometimes,"Reviews,Ingredients",Hyperpigmentation,"Hard to judge authenticity,Not sure if product suits me",Important,Unlikely,Yes,0% (none),,Drunk Elephant
35-44,Female,Egyptian,Unemployed,10000-20000,8568.0,Once a month,606.0,"International brands,Premium,Drugstore",Yes,Snapchat,Macro-influencer,"Reel/Short Video,Post",Often,"Ingredients,Influencer recommendation","Aging/wrinkles,Acne","Lack of trust in reviews,Hard to judge authenticity",Important,Likely,Yes,0% (none),Share more honest reviews.,Huda Beauty
35-44,Female,Indian,Other,5000-10000,10572.0,Once a month,941.0,"Organic/Natural,International brands,Drugstore",Yes,"YouTube,Instagram,TikTok",Micro-influencer,Story,Always,"Reviews,Dermatologist advice","Other,Oily skin,Aging/wrinkles,Dryness",Not sure if product suits me,Very important,Unlikely,No,1–10%,Be more transparent about paid partnerships.,
